OBJECTID,StreamName,UpdatedBy,UpdatedDat,SHAPE_area,SHAPE_len
10009,Sherwood Creek,MMM,2014-06-09,3431.15966114,1828.83158079
9991,Sherwood Creek,MMM,2014-06-09,32524.4884698,1770.59373176
9400,Perennial Stream,MMM,2014-06-03,57725.3398679,15138.1962134
10178,St Vrain Creek,Carmen,2014-05-07,1294862.76484,41942.3737267
10132,Fourmile Canyon Creek,MMM,2014-06-11,10259.6653665,2896.35925571
9888,Fourmile Canyon Creek,MMM,2014-06-12,6165.81698764,1775.85503015
9914,Fourmile Canyon Creek,MMM,2014-06-12,2202.71475446,335.296404383
3066,Fourmile Canyon Creek,MMM,2014-06-12,37366.2183773,8265.7296902
9923,Fourmile Canyon Creek,MMM,2014-06-12,9678.87344066,2570.6657965
9895,Boulder & Whiterock Ditch,MMM,2014-06-12,6021.422729,1192.07565072
10560,Boulder & Whiterock Ditch,MMM,2014-08-11,2040.45641412,471.315395357
10523,Boulder & Whiterock Ditch,MMM,2014-06-12,41576.647627,7228.01585135
7732,Buffalo Gulch,MMM,,18908.9049747,10331.7517232
5974,Four Mile Creek,WJT,2014-06-11,576259.279724,82028.5149805
10481,South Draw,Carmen,2014-06-20,247367.734911,19492.2132903
10749,Boulder & Whiterock Ditch,MMM,2014-06-23,85637.8507652,15475.0563771
10345,Fourmile Creek,,2014-08-11,116826.22868,19506.5290392
10569,Boulder & Whiterock Ditch,MMM,2014-06-19,27568.5431657,5101.08069392
10979,Boulder & Whiterock Ditch,MMM,2014-08-11,823.071319418,256.921687561
10987,Lateral Ditch,MMM,2014-06-19,3405.16216974,744.082182742
10978,Lateral Ditch,MMM,2014-06-19,9402.88025074,1551.07968917
10991,Boulder and Whiterock Ditch,MMM,2014-06-19,1502.18207057,591.586740578
11001,Boulder & Lefthand Ditch,MMM,2014-06-19,4694.59833419,1642.66842659
11005,Boulder & Lefthand Ditch,MMM,2014-06-19,9707.98467374,2072.6882597
3070,Fourmile Canyon Creek,MMM,2014-03-21,9929.24293728,3504.15936527
9905,Fourmile Canyon Creek,MMM,2014-06-12,14874.3371566,3371.47798807
10992,N Boulder Farmers Ditch,MMM,2014-06-19,71262.5762306,21379.8489012
11014,Boulder & Lefthand Ditch,MMM,2014-06-19,49830.2523055,17806.3556439
10460,Leggett Ditch,MMM,2014-06-20,65476.416269,12223.4145839
7672,Dry Creek,MMM,2014-05-05,257796.170102,63392.9349604
10768,Boulder & Lefthand Ditch,MMM,2014-06-23,76159.8473952,18981.2803036
10915,Boulder & Lefthand Ditch,MMM,2014-06-23,34681.4135233,8985.06421708
11130,Boulder & Lefthand Ditch,MMM,2014-07-01,20424.2683216,8183.07386094
10902,Boulder & Whiterock Ditch,MMM,2014-06-23,82103.1242181,22483.3336734
11185,Boulder & Lefthand Ditch,MMM,2014-07-01,11947.1648113,3247.64623818
2307,South St Vrain Creek,MMM,2014-03-10,2323070.03493,193629.262832
11231,West Fork Little Thompson River,MMM,2014-08-04,121678.596015,19684.8956642
11337,Boulder Creek,MMM,2014-08-05,3732183.50731,183357.916294
991,South Boulder Creek,MMM,2014-08-05,33544.0225766,2255.96880223
11348,Rock Creek,MMM,2014-08-05,39420.8328669,12654.1430939
11398,Rock Creek,MMM,2014-08-05,9893.93011536,3462.80641169
7708,Rock Creek,MMM,2014-05-07,87828.9185151,27873.7051557
10103,Little Thompson,Carmen,2014-06-10,1265426.6642,48573.9701713
11506,Geer Canyon,MMM,2014-08-06,6314.11655066,977.638528709
